address,district,area,bedrooms,garage,type,rent,total,full_address,latitude,longitude,geo_cluster
Rua João José Pacheco,Jardim Vila Mariana,22,0,0,Studio e kitnet,2200,2808,"Rua João José Pacheco, Jardim Vila Mariana, São Paulo, Brazil",-23.5939221,-46.6237673,76
Rua Coronel Mursa,Brás,20,1,1,Apartamento,2600,2886,"Rua Coronel Mursa, Brás, São Paulo, Brazil",-23.5488011,-46.6166353,99
Rua Pangaré,Vila Butantã,38,2,1,Apartamento,1995,2572,"Rua Pangaré, Vila Butantã, São Paulo, Brazil",-23.5697452,-46.7453482,124
Rua Bartholomeu do Canto,Vila Palmeiras,34,2,0,Apartamento,1400,1754,"Rua Bartholomeu do Canto, Vila Palmeiras, São Paulo, Brazil",-21.386477399999997,-49.3857034,2
Avenida do Cursino,Vila Gumercindo,72,3,2,Apartamento,4000,4154,"Avenida do Cursino, Vila Gumercindo, São Paulo, Brazil",-23.6053807,-46.6160853,44
Avenida Paes de Barros,Mooca,98,3,1,Apartamento,3000,3889,"Avenida Paes de Barros, Mooca, São Paulo, Brazil",-23.5612595,-46.5989864,62
Rua Bento Vieira,Ipiranga,55,2,1,Apartamento,2350,3310,"Rua Bento Vieira, Ipiranga, São Paulo, Brazil",-23.5775188,-46.603816,116
Rua Oscar Freire,Pinheiros,19,1,0,Studio e kitnet,3400,3905,"Rua Oscar Freire, Pinheiros, São Paulo, Brazil",-23.5507537,-46.6787992,41
Rua Francisco Luiz de Souza Júnior,Água Branca,44,2,0,Apartamento,1750,2178,"Rua Francisco Luiz de Souza Júnior, Água Branca, São Paulo, Brazil",-23.523013,-46.6882658,52
Rua Heitor Penteado,Sumarezinho,55,2,1,Apartamento,2300,3039,"Rua Heitor Penteado, Sumarezinho, São Paulo, Brazil",-23.5458775,-46.6915712,149
Rua Henrique Sertório,Tatuapé,24,1,0,Studio e kitnet,1900,2430,"Rua Henrique Sertório, Tatuapé, São Paulo, Brazil",-23.5366481,-46.5780234,53
Largo do Arouche,República,30,1,0,Studio e kitnet,2390,3113,"Largo do Arouche, República, São Paulo, Brazil",-23.5415858,-46.6455883,89
Rua Alfredo Pujol,Santana,26,1,0,Studio e kitnet,2500,2940,"Rua Alfredo Pujol, Santana, São Paulo, Brazil",-23.4999644,-46.6272596,135
Rua Gravi,Vila da Saúde,35,1,0,Casa,1400,1424,"Rua Gravi, Vila da Saúde, São Paulo, Brazil",-23.6124822,-46.6373193,134
Rua Guaraja,Vila Mazzei,70,2,1,Apartamento,1600,2131,"Rua Guaraja, Vila Mazzei, São Paulo, Brazil",-23.4735908,-46.6010994,59
Avenida João Dias,Santo Amaro,67,2,1,Apartamento,1900,2964,"Avenida João Dias, Santo Amaro, São Paulo, Brazil",-23.6458995,-46.7103123,118
Rua Cristóvão Colombo,Jardim Vila Galvão,45,2,1,Apartamento,1443,1934,"Rua Cristóvão Colombo, Jardim Vila Galvão, São Paulo, Brazil",-23.463313,-46.5625448,90
Rua Capitão Teófilo,Centro,94,3,1,Apartamento,2200,2926,"Rua Capitão Teófilo, Centro, São Paulo, Brazil",-23.46838,-46.5314255,121
Rua Avanhandava,Bela Vista,24,1,0,Studio e kitnet,2350,2892,"Rua Avanhandava, Bela Vista, São Paulo, Brazil",-23.5541057,-46.6495046,96
Avenida Nove de Julho,Bela Vista,26,1,0,Studio e kitnet,1250,1629,"Avenida Nove de Julho, Bela Vista, São Paulo, Brazil",-23.556888,-46.6518658,96
Rua Catulo da Paixão Cearense,Vila da Saúde,75,3,2,Apartamento,3700,5068,"Rua Catulo da Paixão Cearense, Vila da Saúde, São Paulo, Brazil",-23.6145916,-46.6296789,137
